SlideID,Turn,RegionID,Frequency,HairCellsReconstructed,ImageName
WSS_030.01,2,1,32,15,WSS_030.01.T2.01.Zs.4C
WSS_031.03,3,1,32,16,WSS_031.03.T3.01.Zs.4C
