ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
45,102.136,17.563,8.096,0.239,1650.016,283.738,24,18970.801,11280,6029.01,2214.2,Synapse,NA,Yes,1633.861,267.583,22,26
46,98.407,22.689,5.284,0.356,1589.767,366.54,16,21745.6,15177.1,6368.32,2249.67,Synapse,NA,Yes,1573.612,350.385,14,18
47,95.589,22.114,17.216,0.228,1544.244,357.254,51,17827.9,9200.53,15167.7,10320.1,Synapse,NA,Yes,1528.089,341.099,49,53
48,95.905,22.52,15.314,0.252,1549.354,363.817,45,19356.5,11834.3,19546.5,8453.5,Synapse,NA,Yes,1533.199,347.662,43,47
49,97.96,21.462,12.952,0.17,1582.557,346.716,38,17937.199,9118.09,10207.4,2716.79,Synapse,NA,Yes,1566.402,330.561,36,40
50,99.912,23.394,6.273,0.171,1614.084,377.934,18,17442.801,17056.699,10742.1,2359.48,Synapse,NA,Yes,1597.929,361.779,16,20
51,102.766,21.69,7.277,0.976,1660.194,350.409,21,32263.9,9756.89,5246.49,5047.48,Synapse,NA,Yes,1644.039,334.254,19,23
52,104.894,17.481,12.54,0.152,1694.572,282.401,37,16952.801,7160.2,4183.7,2398.87,Synapse,NA,Yes,1678.417,266.246,35,39
53,102.81,22.196,10.684,0.599,1660.905,358.575,31,28283.699,12923.5,11770.7,2788.3,Synapse,NA,Yes,1644.75,342.42,29,33
54,106.954,20.177,9.874,0.174,1727.851,325.96,29,16416.801,8576.34,4655.7,2586.24,Synapse,NA,Yes,1711.696,309.805,27,31
55,102.279,23.996,13.327,0.26,1652.326,387.662,39,18892.301,11198.6,21034.9,6694.97,Synapse,NA,Yes,1636.171,371.507,37,41
56,109.385,19.088,8.8,0.185,1767.124,308.368,26,17212.1,11723.9,4672.96,2181.54,Synapse,NA,Yes,1750.969,292.213,24,28
57,102.918,23.832,16.665,0.522,1662.649,385.003,49,24742.199,6747.85,16076.3,5211.25,Unpaired,NA,Yes,1646.494,368.848,47,51
58,106.915,22.777,8.598,0.225,1727.221,367.963,25,18551.801,8649.79,4775.35,2334.94,Synapse,NA,Yes,1711.066,351.808,23,27
60,108.668,21.251,13.21,0.514,1755.541,343.309,39,24629.9,10022.7,11691.6,5713.96,Synapse,NA,Yes,1739.386,327.154,37,41
61,113.08,18.505,9.431,0.277,1826.817,298.953,28,19443.801,12863.6,4893.67,2331.54,Synapse,NA,Yes,1810.662,282.798,26,30
62,108.518,24.52,8.219,0.748,1753.118,396.116,24,26480.6,5402.55,6295.79,2369.86,Synapse,NA,Yes,1736.963,379.961,22,26
63,110.136,22.823,12.288,0.339,1779.257,368.716,36,19750.1,11691.6,8485.22,3042.14,Synapse,NA,Yes,1763.102,352.561,34,38
64,113.414,23.192,7.277,0.228,1832.213,374.67,21,18217.4,12687.9,5784.88,2201.09,Synapse,NA,Yes,1816.058,358.515,19,23
65,111.611,24.945,7.283,0.107,1803.086,402.984,21,16837.9,17043.1,9281.75,2397.09,Synapse,NA,Yes,1786.931,386.829,19,23
66,116.766,22.291,5.821,0.26,1886.365,360.105,17,19984.5,15845.5,3796.36,2183.36,Synapse,NA,Yes,1870.21,343.95,15,19
69,115.378,25.123,8.6,0.824,1863.942,405.861,25,30090.6,10332.6,9676.42,13384.1,Synapse,NA,Yes,1847.787,389.706,23,27
70,117.162,24.936,5.174,0.753,1892.763,402.842,15,30486.301,12038,3164.13,2119.71,Synapse,NA,Yes,1876.608,386.687,13,17
79,60.104,20.108,8.861,0.415,970.984,324.848,26,22048.9,11346.6,7659.76,6929.96,Synapse,NA,Yes,954.829,308.693,24,28
80,56.619,20.368,15.451,0.173,914.685,329.042,45,19290.1,6842.48,15234.9,2803.99,Unpaired,NA,Yes,898.53,312.887,43,47
81,58.186,19.587,10.504,0.717,940.005,316.43,31,30068.301,11214.1,7799.34,2997.65,Synapse,NA,Yes,923.85,300.275,29,33
82,55.655,18.793,13.369,0.214,899.116,303.603,39,20819.301,10935.9,8540.96,3106.71,Synapse,NA,Yes,882.961,287.448,37,41
83,55.395,18.855,10.151,0.633,894.916,304.609,30,23758.6,8534.48,7044.44,9758.78,Synapse,NA,Yes,878.761,288.454,28,32
84,56.248,16.44,11.24,0.201,908.683,265.593,33,18225.4,8921.27,4088.52,6745.99,Synapse,NA,Yes,892.528,249.438,31,35
85,53.753,18.408,12.596,0.38,868.378,297.388,37,24097.9,12140.5,10614,20901,Synapse,NA,Yes,852.223,281.233,35,39
86,51.949,19.187,11.759,0.264,839.237,309.971,35,19021.4,14302.8,14322.3,17551.301,Synapse,NA,Yes,823.082,293.816,33,37
87,52.584,18.143,7.034,0.427,849.506,293.105,21,22860.9,6627.38,6262.14,2515.08,Synapse,NA,Yes,833.351,276.95,19,23
89,53.509,15.969,8.015,0.263,864.446,257.989,24,19619.5,14728.1,7392.17,2220.13,Synapse,NA,Yes,848.291,241.834,22,26
90,47.427,20.826,8.936,0.602,766.186,336.447,26,27603.1,12666.6,7702.3,2454.42,Synapse,NA,Yes,750.031,320.292,24,28
91,56.096,11.606,9.188,0.21,906.236,187.493,27,18729.9,11979.6,5363.55,2210.71,Synapse,NA,Yes,890.081,171.338,25,29
92,46.08,21.618,9.078,0.197,744.42,349.236,27,19502.5,15472.8,6325.04,7878.05,Synapse,NA,Yes,728.265,333.081,25,29
93,48.106,18.499,10.325,0.364,777.152,298.856,30,20890,10551.6,10516,2270.59,Synapse,NA,Yes,760.997,282.701,28,32
94,44.632,22.208,9.314,0.124,721.042,358.771,27,17483.801,4071.81,7249.21,3425.22,Unpaired,NA,Yes,704.887,342.616,25,29
95,45.542,22.435,5.591,0.257,735.733,362.439,16,19577,14041.2,7508.87,2653.78,Synapse,NA,Yes,719.578,346.284,14,18
96,47.956,17.735,11.472,0.117,774.729,286.509,34,18502.301,4882.83,5995.95,2181.43,Unpaired,NA,Yes,758.574,270.354,32,36
97,42.453,21.107,12.279,0.185,685.835,340.985,36,19415.9,7638,19455.1,10113.9,Unpaired,NA,Yes,669.68,324.83,34,38
98,48.882,15.458,9.271,0.121,789.701,249.724,27,16398.5,12938.3,5347.17,2136.51,Synapse,NA,Yes,773.546,233.569,25,29
99,43.078,22.46,5.396,0.244,695.934,362.837,16,19180.9,5560.57,5869.62,2494.75,Synapse,NA,Yes,679.779,346.682,14,18
100,42.364,20.046,12.69,0.688,684.394,323.847,37,27890.4,13816.7,21450,14321.8,Synapse,NA,Yes,668.239,307.692,35,39
101,38.971,21.049,16.887,0.165,629.585,340.042,50,17680.5,11237.3,22565.9,12218.3,Synapse,NA,Yes,613.43,323.887,48,52
102,41.514,20.999,10.597,0.176,670.664,339.242,31,18662.9,12299.2,15423.2,9192.29,Synapse,NA,Yes,654.509,323.087,29,33
103,40.118,21.341,9.513,0.21,648.103,344.769,28,19199.801,16686.5,10978,3344.41,Synapse,NA,Yes,631.948,328.614,26,30
104,38.384,21.548,10.928,0.101,620.095,348.105,32,16072.7,21047.5,17662.1,4756.94,Synapse,NA,Yes,603.94,331.95,30,34
105,41.321,21.061,4.617,0.306,667.552,340.244,14,18466.9,16418.699,6723.56,2325.91,Synapse,NA,Yes,651.397,324.089,12,16
106,37.32,20.943,12.034,0.136,602.903,338.342,35,18632.6,13786.3,13909.1,12887.9,Synapse,NA,Yes,586.748,322.187,33,37
107,37.634,20.165,10.956,0.141,607.976,325.764,32,16825.9,14683.9,15093.3,2659.1,Synapse,NA,Yes,591.821,309.609,30,34
108,41.936,16.622,4.832,0.446,677.483,268.522,14,22594.699,17363.6,6053.81,2415.96,Synapse,NA,Yes,661.328,252.367,12,16
109,36.282,18.116,14.125,0.37,586.136,292.669,42,21725.6,10715.4,15412.7,2781.71,Synapse,NA,Yes,569.981,276.514,40,44
110,39.415,16.675,6.912,0.182,636.745,269.389,20,20022.4,16493.199,5287.44,2416.85,Synapse,NA,Yes,620.59,253.234,18,22
111,36.323,17.58,12.001,0.437,586.796,284,35,21861.301,10834.3,6536.74,9682.27,Synapse,NA,Yes,570.641,267.845,33,37
112,35.009,19.208,10.862,0.514,565.578,310.307,32,23530,6506.02,8484.71,2935.82,Unpaired,NA,Yes,549.423,294.152,30,34
113,36.651,18.012,7.621,0.28,592.094,290.989,22,19150.1,11877.2,4363.13,8645.43,Synapse,NA,Yes,575.939,274.834,20,24
114,31.885,21.683,8.958,0.756,515.099,350.283,26,26344.4,10882.6,11796.5,3257.28,Synapse,NA,Yes,498.944,334.128,24,28
115,29.814,20.526,11.487,0.19,481.646,331.606,34,18018.4,9264.02,10473.3,11721.9,Synapse,NA,Yes,465.491,315.451,32,36
116,31.584,19.871,7.707,0.268,510.246,321.019,23,19143.5,14467.1,6754.89,2445.08,Synapse,NA,Yes,494.091,304.864,21,25
119,30.942,18.64,8.131,0.272,499.876,301.126,24,19795.6,15730.1,6060.19,2670.59,Synapse,NA,Yes,483.721,284.971,22,26
120,28.031,21.782,7.612,0.477,452.84,351.895,22,22538.5,10695.2,7371.99,2580.84,Synapse,NA,Yes,436.685,335.74,20,24
121,28.37,19.601,6.641,0.277,458.315,316.654,20,20743.301,10940.9,6856.95,2241.96,Synapse,NA,Yes,442.16,300.499,18,22
122,24.946,22.767,7.106,0.482,403.005,367.806,21,23003.199,11813.8,5485.81,7390.77,Synapse,NA,Yes,386.85,351.651,19,23
123,26.173,19.491,10.928,0.194,422.829,314.884,32,18047.699,14020.4,9731.09,19479.199,Synapse,NA,Yes,406.674,298.729,30,34
124,29.163,16.174,8.67,0.111,471.134,261.297,26,16657.301,10731.6,3371.24,2198.82,Synapse,NA,Yes,454.979,245.142,24,28
126,25.304,19.906,4.261,0.312,408.793,321.59,13,22735.301,18945.301,4545.6,2177.41,Synapse,NA,Yes,392.638,305.435,11,15
127,18.87,23.851,11.045,0.667,304.84,385.31,32,25747.1,7354.75,9671.46,13404.7,Synapse,NA,Yes,288.685,369.155,30,34
