ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
72,90.226,26.588,11.312,0.822,1457.607,429.538,33,7676.95,14098.7,14715.7,5557.04,Synapse,Negative,Yes,1441.452,413.383,31,35
73,92.603,23.437,12.448,0.28,1496.003,378.63,37,8110.8,12445.5,11993.7,8048.8,Synapse,Positive,Yes,1479.848,362.475,35,39
75,87.346,27.919,11.528,0.19,1411.086,451.029,34,13509.7,12052.9,19391,15129,Synapse,Positive,Yes,1394.931,434.874,32,36
76,91.555,24.63,9.505,0.331,1479.086,397.895,28,10036.5,11605.5,8546.32,4518.97,Synapse,Negative,Yes,1462.931,381.74,26,30
78,92.455,22.921,9.515,0.454,1493.612,370.289,28,8594.89,10414.8,7602.82,4347.88,Synapse,Negative,Yes,1477.457,354.134,26,30
81,85.728,26.468,13.164,0.21,1384.943,427.591,39,12760.9,11961.8,23253.301,12052.1,Synapse,Positive,Yes,1368.788,411.436,37,41
82,96.316,18.207,8.85,0.213,1555.997,294.131,26,5179.46,11103.7,7978.98,4478.12,Synapse,Negative,Yes,1539.842,277.976,24,28
83,85.765,25.15,14.078,0.328,1385.536,406.296,41,8424.25,13963.1,22082.199,16978.1,Synapse,Positive,Yes,1369.381,390.141,39,43
84,89.68,24.219,8.089,0.569,1448.782,391.267,24,9315.04,12467.1,6736.11,4155.87,Synapse,Negative,Yes,1432.627,375.112,22,26
85,86.667,24.549,15.337,0.383,1400.113,396.593,45,16808.4,12664.7,30320.1,14523.7,Synapse,Positive,Yes,1383.958,380.438,43,47
86,84.107,27.766,8.359,0.596,1358.756,448.559,25,12181.4,14331.2,10555.1,12501,Synapse,Positive,Yes,1342.601,432.404,23,27
88,84.275,26.836,11.367,0.797,1361.469,433.544,33,15587.3,14142.6,15357,15713.3,Synapse,Positive,Yes,1345.314,417.389,31,35
89,81.622,26.673,7.906,0.522,1318.615,430.91,23,11143.6,12174.9,8294.18,4473.97,Synapse,Negative,Yes,1302.46,414.755,21,25
90,81.71,25.834,11.641,0.466,1320.032,417.352,34,8730.09,12223,15054.9,7536.51,Synapse,Positive,Yes,1303.877,401.197,32,36
91,84.691,25.134,12.214,0.316,1368.186,406.044,36,10122.6,13005.7,12261.9,7910.92,Synapse,Positive,Yes,1352.031,389.889,34,38
92,79.814,25.107,14.897,0.319,1289.404,405.612,44,10012.1,10793.8,29177.9,12431,Synapse,Positive,Yes,1273.249,389.457,42,46
93,84.134,24.557,7.191,1.97,1359.189,396.727,21,8113.56,18373.801,5137.76,4135.65,Synapse,Negative,Yes,1343.034,380.572,19,23
96,80.885,23.156,15.986,0.41,1306.711,374.09,47,6713.14,11694.5,30055.6,20056,Synapse,Positive,Yes,1290.556,357.935,45,49
97,85.73,21.782,7.469,0.359,1384.969,351.895,22,11937.9,13727.4,7534.4,4973.69,Synapse,Negative,Yes,1368.814,335.74,20,24
98,78.344,26.105,12.27,0.274,1265.662,421.732,36,7339.63,11666.6,15670.6,14496.5,Synapse,Positive,Yes,1249.507,405.577,34,38
99,85.065,20.68,9.671,0.257,1374.226,334.081,28,7450.32,12024,5114.72,4272.65,Synapse,Negative,Yes,1358.071,317.926,26,30
101,78.699,26.428,8.004,0.599,1271.391,426.95,24,8068.61,13235.6,9944.34,4285.02,Synapse,Negative,Yes,1255.236,410.795,22,26
102,79.559,23.526,14.702,0.252,1285.281,380.058,43,7801.55,11363.9,22687.9,17698.699,Synapse,Positive,Yes,1269.126,363.903,41,45
103,82.102,23.939,8.212,1.076,1326.362,386.743,24,11856.5,15177,8936.66,4759.05,Synapse,Negative,Yes,1310.207,370.588,22,26
104,80.583,18.995,8.851,0.148,1301.822,306.863,26,7119.78,10546.7,6609.88,3886.43,Synapse,Negative,Yes,1285.667,290.708,24,28
105,75.768,23.052,12.12,0.217,1224.032,372.401,36,7842.23,9625.46,7557.85,6588.3,Synapse,Positive,Yes,1207.877,356.246,34,38
106,76.676,25.326,9.552,0.499,1238.711,409.142,28,26428.199,12384,10102.5,11876.3,Synapse,Positive,Yes,1222.556,392.987,26,30
