ImageName,ImInitialized?,AnalysisStatus,genThumbnailsStatus,genArraysStatus,reviewArraysStatus,AvailXYZData,ZStart,ZEnd,Voxel Width (um),Voxel Depth (um),Synaptic Marker Channels,Terminal Marker Channels,PreSynXYZ,PostSynXYZ
WSS_030.01.T2.01.Zs.4C.czi,Yes,TBD,"Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0","Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0","Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0",Both Pre- and Post-,1,62,0.062,0.340,"[1,3]","[3,4]",247,264
WSS_031.03.T3.01.Zs.4C.czi,Yes,TBD,"Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0","Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0","Initialized, Comp_PreSynSynaptic, Comp_PostSynSynaptic, Comp_PostSynTerminal, 0",Both Pre- and Post-,1,84,0.062,0.340,"[1,3]","[3,4]",140,166
