ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
1,112.19,25.648,9.4,0.256,1812.439,414.352,28,1014.35,13683,6577.24,5390.19,Unpaired,Uncertain,Yes,1796.284,398.197,26,30
5,115.188,25.267,8.523,0.357,1860.872,408.199,25,27600.699,14212.9,9979.69,18679.1,Synapse,Positive,Yes,1844.717,392.044,23,27
7,115.457,24.206,12.997,0.135,1865.218,391.044,38,1232.19,13861.5,12969.2,38479.199,Synapse,Positive,Yes,1849.063,374.889,36,40
13,118.291,23.48,15.597,0.1,1911.002,379.317,46,887.417,14477.9,3577.3,2494.61,Unpaired,Negative,Yes,1894.847,363.162,44,48
55,113.29,23.106,6.615,0.575,1830.21,373.278,19,7072.28,14809.5,6893.27,2079.38,Synapse,Negative,Yes,1814.055,357.123,17,21
56,111.561,25.103,6.753,0.621,1802.278,405.535,20,5864.29,16013.7,10906.3,2265.5,Synapse,Negative,Yes,1786.123,389.38,18,22
58,116.223,19.891,11.547,0.655,1877.593,321.346,34,1003.67,16922.801,3387.33,2273.04,Unpaired,Negative,Yes,1861.438,305.191,32,36
64,109.965,22.961,12.038,0.34,1776.494,370.931,35,12042.2,15001.7,11672.6,3421.48,Synapse,Uncertain,Yes,1760.339,354.776,33,37
71,104.125,26.003,15.3,0.205,1682.149,420.073,45,693.006,13082.1,6382.71,3851.56,Unpaired,Negative,Yes,1665.994,403.918,43,47
73,102.502,26.451,14.223,0.115,1655.929,427.315,42,835.944,13585.3,8507.93,16563.199,Unpaired,Positive,Yes,1639.774,411.16,40,44
74,106.164,24.144,11.608,0.476,1715.089,390.044,34,35132.398,15830.4,10298.5,3552.76,Synapse,Uncertain,Yes,1698.934,373.889,32,36
75,105.046,25.318,12,0.309,1697.027,409.015,35,1200.12,14654.3,16568.6,17846.301,Synapse,Positive,Yes,1680.872,392.86,33,37
76,113.178,18.609,8.762,0.419,1828.401,300.635,26,10341.5,15257.4,5550.93,2282.21,Synapse,Negative,Yes,1812.246,284.48,24,28
84,105.43,25.891,8.79,0.51,1703.231,418.275,26,1407.28,15218.8,6553.04,9520.42,Unpaired,Positive,Yes,1687.076,402.12,24,28
85,109.227,19.227,8.182,0.56,1764.572,310.611,24,6576.22,15225.9,7336.06,2140.31,Synapse,Negative,Yes,1748.417,294.456,22,26
87,104.999,24.586,5.289,0.442,1696.268,397.187,16,1556.31,15559.4,6288.21,2045.86,Unpaired,Negative,Yes,1680.113,381.032,14,18
88,106.682,22.675,8.079,0.199,1723.457,366.318,24,6733.61,14676.5,5367.75,2443.13,Synapse,Negative,Yes,1707.302,350.163,22,26
90,106.229,23.316,9.802,0.384,1716.139,376.68,29,1625.84,15514.2,12781.3,2558.15,Synapse,Negative,Yes,1699.984,360.525,27,31
91,105.753,20.393,11.05,0.768,1708.449,329.457,33,1512.2,17592.1,4715.45,2523.19,Synapse,Negative,Yes,1692.294,313.302,31,35
