ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
0,110.205,28.247,10.741,0.839,1780.372,456.331,32,20559.199,7463.8,7215.94,8605.89,Synapse,NA,Yes,1764.217,440.176,30,34
1,109.755,28.871,9.292,0.158,1773.102,466.409,27,14340.7,6432.62,5212.74,7534.69,Synapse,NA,Yes,1756.947,450.254,25,29
2,111.76,28.359,7.415,0.417,1805.493,458.142,22,15793.3,11699.1,6059.79,4471.41,Synapse,NA,Yes,1789.338,441.987,20,24
3,117.151,20.77,12.258,0.128,1892.585,335.538,36,11194.8,6721.2,5203.51,3775.34,Synapse,NA,Yes,1876.43,319.383,34,38
4,111.164,27.674,11.395,0.315,1795.864,447.068,34,16050,7604.05,11401.7,8589.34,Synapse,NA,Yes,1779.709,430.913,32,36
5,112.332,28.427,8.982,0.307,1814.733,459.244,26,15562.4,12404.8,10464.3,7002.62,Synapse,NA,Yes,1798.578,443.089,24,28
6,114.242,26.81,9.101,0.455,1845.59,433.111,27,15624.5,12942.6,9325.56,10543.5,Synapse,NA,Yes,1829.435,416.956,25,29
7,111.87,27.903,11.526,0.193,1807.27,450.782,34,14639.8,10646.5,12896.7,8376.5,Synapse,NA,Yes,1791.115,434.627,32,36
8,113.689,27.621,11.207,0.543,1836.656,446.226,33,16829.1,9656.16,8927.09,12362.1,Synapse,NA,Yes,1820.501,430.071,31,35
9,113.499,29.349,9.917,0.282,1833.586,474.139,29,13275.8,10185.9,9803.66,12618.6,Synapse,NA,Yes,1817.431,457.984,27,31
10,117.259,25.388,11.884,0.3,1894.33,410.139,35,12541.5,6508.51,7914.36,4666.88,Synapse,NA,Yes,1878.175,393.984,33,37
11,115.586,26.085,14.535,0.248,1867.302,421.405,43,13352.9,6943.16,19009.9,5491.42,Synapse,NA,Yes,1851.147,405.25,41,45
14,117.742,28.237,11.11,0.366,1902.132,456.17,33,14535.4,10811.5,14917.7,5321.89,Synapse,NA,Yes,1885.977,440.015,31,35
18,120.771,24.202,15.827,0.185,1951.066,390.984,47,12588.1,9392.17,13743.7,4960.03,Synapse,NA,Yes,1934.911,374.829,45,49
20,119.624,28.317,11.39,0.256,1932.536,457.472,34,13538.7,6139.6,14844.1,5516.25,Synapse,NA,Yes,1916.381,441.317,32,36
22,120.926,26.063,16.698,0.144,1953.57,421.047,49,12479.2,10011.5,20589.199,5604.88,Synapse,NA,Yes,1937.415,404.892,47,51
